MAIN main ГЛАВНАЯ главная 
INT int ЦЕЛ цел
CHAR char ЛИТЕРА литера
FLOAT float ВЕЩ вещ
LONG long ДЛИН длин
DOUBLE double ДВОЙНОЙ двойной
VOID void ПУСТО пусто
BREAK break ВЫХОД выход
CASE case СЛУЧАЙ случай
CONTINUE continue ПРОДОЛЖИТЬ продолжить
DEFAULT default УМОЛЧАНИЕ умолчание
DO do ЦИКЛ цикл
ELSE else ИНАЧЕ иначе
ENUM enum ПЕРЕЧЕНЬ перечень
STRUCT struct СТРУКТУРА структура
TYPEDEF typedef ОПРТИПА опртипа
FOR for ДЛЯ для
GOTO goto ПЕРЕХОД переход
IF if ЕСЛИ если
RETURN return ВОЗВРАТ возврат
SIZEOF sizeof РАЗМЕР размер
SWITCH switch ВЫБОР выбор
WHILE while ПОКА пока
PRINTID printid ПЕЧАТЬИД печатьид
PRINT print ПЕЧАТЬ печать
GETID getid ЧИТАТЬИД читатьид
SETMOTOR setmotor МОТОР мотор
SLEEP sleep СПАТЬ спать
GETDIGSENSOR getdigsensor ЦИФРДАТЧИК цифрдатчик
GETANSENSOR getansensor АНАЛОГДАТЧИК аналогдатчик
ABS abs АБС абс
SQRT sqrt КВКОР квкор
EXP exp ЭКСП эксп
SIN sin СИН син
COS cos КОС кос
LOG log ЛОГ лог
LOG10 log10 ЛОГ10 лог10
ASIN asin АСИН асин
RAND rand СЛУЧ случ
ROUND round ОКРУГЛ округл

